term,definition
maxillary bone,"(also, maxilla) paired bones that form the upper jaw and anterior portion of the hard palate."
maxillary sinus,air-filled space located with each maxillary bone; largest of the paranasal sinuses.
maxillary vein,drains blood from the maxillary region and leads to the external jugular vein.
mean arterial pressure (MAP),average driving force of blood to the tissues; approximated by taking diastolic pressure and adding 1/3 of pulse pressure.
meatus,"one of three recesses (superior, middle, and inferior) in the nasal cavity attached to the conchae that increase the surface area of the nasal cavity."
mechanical digestion,"chewing, mixing, and segmentation that prepares food for chemical digestion."
mechanically gated channel,ion channel that opens when a physical event directly affects the structure of the protein.
mechanoreceptor,receptor cell that transduces mechanical stimuli into an electrochemical signal.
meconium,"foetal wastes consisting of ingested amniotic fluid, cellular debris, mucus, and bile."
medial,describes the middle or direction toward the middle of the body.
medial border of the scapula,"elongated, medial margin of the scapula."
medial condyle of the femur,"smooth, articulating surface that forms the distal and posterior sides of the medial expansion of the distal femur."
medial condyle of the tibia,"medial, expanded region of the proximal tibia that includes the smooth surface that articulates with the medial condyle of the femur as part of the knee joint."
medial cuneiform,"most medial of the three cuneiform tarsal bones; articulates posteriorly with the navicular bone, laterally with the intermediate cuneiform bone, and anteriorly with the first and second metatarsal bones."
medial epicondyle of the femur,roughened area of the distal femur located on the medial side of the medial condyle.
medial epicondyle of the humerus,enlarged projection located on the medial side of the distal humerus.
medial excursion,side-to-side movement that returns the mandible to the midline.
medial geniculate nucleus,thalamic target of the auditory brain stem that projects to the auditory cortex.
medial lemniscus,"fibre tract of the dorsal column system that extends from the nuclei gracilis and cuneatus to the thalamus, and decussates."
medial malleolus,bony expansion located on the medial side of the distal tibia.
medial meniscus,"C-shaped fibrocartilage articular disc located at the knee, between the medial condyle of the femur and medial condyle of the tibia."
medial plantar artery,arises from the bifurcation of the posterior tibial arteries; supplies blood to the medial plantar surfaces of the foot.
medial pterygoid plate,"paired, flattened bony projections of the sphenoid bone located on the inferior skull medial to the lateral pterygoid plate; form the posterior portion of the nasal cavity lateral wall."
medial rectus,extraocular muscle responsible for adduction of the eye.
medial (internal) rotation,movement of the arm at the shoulder joint or the thigh at the hip joint that brings the anterior surface of the limb toward the midline of the body.
medial tibiofemoral joint,portion of the knee consisting of the articulation between the medial condyle of the tibia and the medial condyle of the femur; allows for flexion/extension at the knee.
median antebrachial vein,vein that parallels the ulnar vein but is more medial in location; intertwines with the palmar venous arches.
median aperture,singular opening from the fourth ventricle into the subarachnoid space at the midline between the medulla and cerebellum.
median cubital vein,superficial vessel located in the antecubital region that links the cephalic vein to the basilic vein in the form of a v; a frequent site for a blood draw.
median nerve,"systemic nerve of the arm, located between the ulnar and radial nerves."
median sacral artery,continuation of the aorta into the sacrum.
median sacral crest,irregular ridge running down the midline of the posterior sacrum that was formed from the fusion of the spinous processes of the five sacral vertebrae.
mediastinal artery,branch of the thoracic aorta; supplies blood to the mediastinum.
medulla,"in hair, the innermost layer of keratinocytes originating from the hair matrix."
medulla,inner region of kidney containing the renal pyramids.
medullary cavity,hollow region of the diaphysis; filled with yellow marrow.
megakaryocyte,bone marrow cell that produces platelets.
Meissner corpuscle,"(also, tactile corpuscle) receptor in the skin that responds to light touch."
melanin,pigment that determines the colour of hair and skin.
melanocyte,cell found in the stratum basale of the epidermis that produces the pigment melanin.
melanoma,type of skin cancer that originates from the melanocytes of the skin.
melanosome,intercellular vesicle that transfers melanin from melanocytes into keratinocytes of the epidermis.
melatonin,amino acid–derived hormone that is secreted in response to low light and causes drowsiness.
membrane potential,"distribution of charge across the cell membrane, based on the charges of ions."
memory cell,type of B or T lymphocyte that forms after exposure to a pathogen.
memory T cells,long-lived immune cell reserved for future exposure to a pathogen.
menarche,first menstruation in a pubertal female.
meninges,protective outer coverings of the CNS composed of connective tissue.
meniscus,articular disc.
menses,shedding of the inner portion of the endometrium out though the vagina; also referred to as menstruation.
menses phase,phase of the menstrual cycle in which the endometrial lining is shed.
menstrual cycle,"approximately 28-day cycle of changes in the uterus consisting of a menses phase, a proliferative phase, and a secretory phase."
mental foramen,opening located on the anterior-lateral side of the mandibular body.
mental protuberance,inferior margin of anterior mandible that forms the chin.
Merkel cell,receptor cell in the stratum basale of the epidermis that responds to the sense of touch.
merocrine secretion,release of a substance from a gland via exocytosis.
mesangial,contractile cells found in the glomerulus; can contract or relax to regulate filtration rate.
mesencephalic nucleus,component of the trigeminal nuclei that is found in the midbrain.
mesencephalon,primary vesicle of the embryonic brain that does not significantly change through the rest of embryonic development and becomes the midbrain.
mesenchymal cell,adult stem cell from which most connective tissue cells are derived.
mesenchyme,embryonic tissue from which connective tissue cells derive.
mesoappendix,mesentery of the appendix.
mesoderm,"middle embryonic germ layer from which connective tissue, muscle tissue, and some epithelial tissue derive."
mesothelium,simple squamous epithelial tissue which covers the major body cavities and is the epithelial portion of serous membranes.
messenger RNA (mRNA),nucleotide molecule that serves as an intermediate in the genetic code between DNA and protein.
metabolic acidosis,condition wherein a deficiency of bicarbonate causes the blood to be overly acidic.
metabolic alkalosis,condition wherein an excess of bicarbonate causes the blood to be overly alkaline.
metabotropic receptor,neurotransmitter receptor that involves a complex of proteins that cause metabolic changes in a cell.
metacarpal bone,"one of the five long bones that form the palm of the hand; numbered 1–5, starting on the lateral (thumb) side of the hand."
metacarpophalangeal joint,articulation between the distal end of a metacarpal bone of the hand and a proximal phalanx bone of the thumb or a finger.
metaphase,"second stage of mitosis (and meiosis), characterised by the linear alignment of sister chromatids in the centre of the cell."
metaphase plate,"linear alignment of sister chromatids in the centre of the cell, which takes place during metaphase."
metarteriole,short vessel arising from a terminal arteriole that branches to supply a capillary bed.
metastasis,spread of cancer cells from a source to other parts of the body.
metatarsal bone,"one of the five elongated bones that forms the anterior half of the foot; numbered 1–5, starting on the medial side of the foot."
metatarsophalangeal joint,articulation between a metatarsal bone of the foot and the proximal phalanx bone of a toe.
metencephalon,secondary vesicle of the embryonic brain that develops into the pons and the cerebellum.
MHC class I,"found on most cells of the body, it binds to the CD8 molecule on T cells."
MHC class II,"found on macrophages, dendritic cells, and B cells, it binds to CD4 molecules on T cells."
MHC polygeny,multiple MHC genes and their proteins found in body cells.
MHC polymorphism,multiple alleles for each individual MHC locus.
micelle,tiny lipid-transport compound composed of bile salts and phospholipids with a fatty acid and monoacylglyceride core.
microcirculation,blood flow through the capillaries.
microfilament,the thinnest of the cytoskeletal filaments; composed of actin subunits that function in muscle contraction and cellular structural support.
microglia,glial cell type in the CNS that serves as the resident component of the immune system.
microscopic anatomy,study of very small structures of the body using magnification.
microtubule,"the thickest of the cytoskeletal filaments, composed of tubulin subunits that function in cellular movement and structural support."
microvillus,small projection of the plasma membrane of the absorptive cells of the small intestinal mucosa.
micturition,also called urination or voiding
midbrain,middle region of the adult brain that develops from the mesencephalon.
midcarpal joint,articulation between the proximal and distal rows of the carpal bones; contributes to movements of the hand at the wrist.
middle cardiac vein,vessel that parallels and drains the areas supplied by the posterior interventricular artery; drains into the great cardiac vein.
middle cerebral artery,another branch of the internal carotid artery; supplies blood to the temporal and parietal lobes of the cerebrum.
middle cranial fossa,centrally located cranial fossa that extends from the lesser wings of the sphenoid bone to the petrous ridge.
middle ear,space within the temporal bone between the ear canal and bony labyrinth where the ossicles amplify sound waves from the tympanic membrane to the oval window.
middle nasal concha,nasal concha formed by the ethmoid bone that is located between the superior and inferior conchae.
middle sacral vein,drains the sacral region and leads to the left common iliac vein.
migrating motility complex,form of peristalsis in the small intestine.
mineralocorticoids,hormones produced by the zona glomerulosa cells of the adrenal cortex that influence fluid and electrolyte balance.
mitochondrion,one of the cellular organelles bound by a double lipid bilayer that function primarily in the production of cellular energy (ATP).
mitosis,"division of genetic material, during which the cell nucleus breaks down and two new, fully functional, nuclei are formed."
mitotic phase,phase of the cell cycle in which a cell undergoes mitosis.
mitotic spindle,"network of microtubules, originating from centrioles, that arranges and pulls apart chromosomes during mitosis."
mitral valve,"(also, left atrioventricular valve or bicuspid valve) valve located between the left atrium and ventricle; consists of two flaps of tissue."
mixing wave,unique type of peristalsis that occurs in the stomach.
modelling,"process, during bone growth, by which bone is resorbed on one surface of a bone and deposited on another."
moderator band,band of myocardium covered by endocardium that arises from the inferior portion of the interventricular septum in the right ventricle and crosses to the anterior papillary muscle; contains conductile fibres that carry electrical signals followed by contraction of the heart.
molar,tooth used for crushing and grinding food.
monocytes,agranular leukocytes of the myeloid stem cell line that circulate in the bloodstream; tissue monocytes are macrophages.
monomer –,smallest unit of larger molecules that are polymers.
monosaccharide –,single unit or monomer of carbohydrates.
mons pubis,mound of fatty tissue located at the front of the vulva.
morula,tightly packed sphere of blastomeres that has reached the uterus but has not yet implanted itself.
motilin,hormone that initiates migrating motility complexes.
motility,movement of food through the GI tract.
motor end-plate,"sarcolemma of muscle fibre at the neuromuscular junction, with receptors for the neurotransmitter acetylcholine."
motor unit,motor neuron and the group of muscle fibres it innervates.
mucosa,innermost lining of the gastrointestinal tract.
mucosa-associated lymphoid tissue (MALT),lymphoid nodule associated with the mucosa.
mucosal barrier,protective barrier that prevents gastric juice from destroying the stomach itself.
mucous connective tissue,specialised loose connective tissue present in the umbilical cord.
mucous gland,"group of cells that secrete mucous, a thick, slippery substance that keeps tissues moist and acts as a lubricant."
mucous membrane,tissue membrane that is covered by protective mucous and lines tissue exposed to the outside environment.
mucous neck cell,gastric gland cell that secretes a uniquely acidic mucus.
Müllerian duct,duct system present in the embryo that will eventually form the internal female reproductive structures.
multiaxial joint,type of diarthrosis; a joint that allows for movements within three planes (three axes).
multimodal integration area,"region of the cerebral cortex in which information from more than one sensory modality is processed to arrive at higher level cortical functions such as memory, learning, or cognition."
multipolar,shape of a neuron that has multiple processes—the axon and two or more dendrites.
multipotent,"describes the condition of being able to differentiate into different types of cells within a given cell lineage or small number of lineages, such as a red blood cell or white blood cell."
muscarinic receptor,type of acetylcholine receptor protein that is characterised by also binding to muscarine and is a metabotropic receptor.
muscle tissue,type of tissue that is capable of contracting and generating tension in response to stimulation; produces movement.
muscle tension,force generated by the contraction of the muscle; tension generated during isotonic contractions and isometric contractions.
muscle tone,low levels of muscle contraction that occur when a muscle is not producing movement.
muscular artery,"(also, distributing artery) artery with abundant smooth muscle in the tunica media that branches to distribute blood to the arteriole network."
muscularis,muscle (skeletal or smooth) layer of the gastrointestinal tract wall.
murmur,unusual heart sound detected by auscultation; typically related to septal or valve defects.
mutation,change in the nucleotide sequence in a gene within a cell’s DNA.
myelencephalon,secondary vesicle of the embryonic brain that develops into the medulla.
myelin,layer of lipid inside some neuroglial cells that wraps around the axons of some neurons.
myelin sheath,"lipid-rich layer of insulation that surrounds an axon, formed by oligodendrocytes in the CNS and Schwann cells in the PNS; facilitates the transmission of electrical signals."
myeloid stem cells,"type of haemopoietic stem cell that gives rise to some formed elements, including erythrocytes, megakaryocytes that produce platelets, and a myeloblast lineage that gives rise to monocytes and three forms of granular leukocytes (neutrophils, eosinophils, and basophils)."
myenteric plexus,(plexus of Auerbach) major nerve supply to gastrointestinal tract wall; controls motility.
mylohyoid line,bony ridge located along the inner (medial) surface of the mandibular body.
myoblast,muscle-forming stem cell.
myocardial conducting cells,specialised cells that transmit electrical impulses throughout the heart and trigger contraction by the myocardial contractile cells.
myocardial contractile cells,bulk of the cardiac muscle cells in the atria and ventricles that conduct impulses and contract to propel blood.
myocardium,thickest layer of the heart composed of cardiac muscle cells built upon a framework of primarily collagenous fibres and blood vessels that supply it and the nervous fibres that help to regulate it.
myocyte,muscle cells.
myofibril,"long, cylindrical organelle that runs parallel within the muscle fibre and contains the sarcomeres."
myogenic mechanism,mechanism by which smooth muscle responds to stretch by contracting; an increase in blood pressure causes vasoconstriction and a decrease in blood pressure causes vasodilation so that blood flow downstream remains steady.
myogenic response,constriction or dilation in the walls of arterioles in response to pressures related to blood flow; reduces high blood flow or increases low blood flow to help maintain consistent flow to the capillary network.
myogram,instrument used to measure twitch tension.
myometrium,smooth muscle layer of uterus that allows for uterine contractions during labour and expulsion of menstrual blood.
myosin,protein that makes up most of the thick cylindrical myofilament within a sarcomere muscle fibre.
myotube,fusion of many myoblast cells.
nail bed,layer of epidermis upon which the nail body forms.
nail body,main keratinous plate that forms the nail.
nail cuticle,"fold of epithelium that extends over the nail bed, also called the eponychium."
nail fold,"fold of epithelium at that extend over the sides of the nail body, holding it in place."
nail root,part of the nail that is lodged deep in the epidermis from which the nail grows.
naïve lymphocyte,mature B or T cell that has not yet encountered antigen for the first time.
naris,(plural = nares) opening of the nostrils.
nasal bone,bone of the skull that lies under the root and bridge of the nose and is connected to the frontal and maxillary bones.
nasal cavity,opening through skull for passage of air.
nasal conchae,"curved bony plates that project from the lateral walls of the nasal cavity; include the superior and middle nasal conchae, which are parts of the ethmoid bone, and the independent inferior nasal conchae bone."
nasal septum,wall composed of bone and cartilage that separates the left and right nasal cavities.
nasolacrimal canal,"passage for drainage of tears that extends downward from the medial-anterior orbit to the nasal cavity, terminating behind the inferior nasal conchae."
nasopharynx,portion of the pharynx flanked by the conchae and oropharynx that serves as an airway.
natural killer (NK) cells,"cytotoxic lymphocytes capable of recognising cells that do not express “self” proteins on their plasma membrane or that contain foreign or abnormal markers; provide generalised, nonspecific immunity."
navicular,"tarsal bone that articulates posteriorly with the talus bone, laterally with the cuboid bone, and anteriorly with the medial, intermediate, and lateral cuneiform bones."
neck of the femur –,narrowed region located inferior to the head of the femur.
neck of the radius,narrowed region immediately distal to the head of the radius.
neck of the rib,"narrowed region of a rib, next to the rib head."
necrosis,accidental death of cells and tissues.
negative feedback,"homeostatic mechanism that tends to stabilise an upset in the body’s physiological condition by preventing an excessive response to a stimulus, typically as the stimulus is removed."
negative inotropic factors,factors that negatively impact or lower heart contractility.
negative selection,selection against thymocytes in the thymus that react with self-antigen.
neonatal (congenital) hypothyroidism,"condition characterised by cognitive deficits, short stature, and other signs and symptoms in people born to women who were iodine-deficient during pregnancy."
nephrons,"functional units of the kidney that carry out all filtration and modification to produce urine; consist of renal corpuscles, proximal and distal convoluted tubules, and descending and ascending loops of Henle; drain into collecting ducts."
nerve,cord-like bundle of axons located in the peripheral nervous system that transmits sensory input and response output to and from the central nervous system.
nerve plexus,network of nerves without neuronal cell bodies included.
nervi vasorum,small nerve fibres found in arteries and veins that trigger contraction of the smooth muscle in their walls.
nervous tissue,type of tissue that is capable of sending and receiving impulses through electrochemical signals.
net filtration pressure (NFP),force driving fluid out of the capillary and into the tissue spaces; equal to the difference of the capillary hydrostatic pressure and the blood colloidal osmotic pressure.
neural crest,tissue that detaches from the edges of the neural groove and migrates through the embryo to develop into peripheral structures of both nervous and non-nervous tissues.
neural fold,elevated edge of the neural groove.
neural groove,region of the neural plate that folds into the dorsal surface of the embryo and closes off to become the neural tube.
neural plate,thickened layer of neuroepithelium that runs longitudinally along the dorsal surface of an embryo and gives rise to nervous system tissue.
neural tube,"precursor to structures of the central nervous system, formed by the invagination and separation of neuroepithelium."
neural tunic,"layer of the eye that contains nervous tissue, namely the retina."
neurulation,embryonic process that establishes the central nervous system.
neuraxis,"central axis to the nervous system, from the posterior to anterior ends of the neural tube; the inferior tip of the spinal cord to the anterior surface of the cerebrum."
neuroglia,supportive neural cells.
neurogenic shock,type of shock that occurs with cranial or high spinal injuries that damage the cardiovascular centres in the medulla oblongata or the nervous fibres originating from this region.
neuron,"neural tissue cell that is primarily responsible for generating and propagating electrical signals into, within, and out of the nervous system."
neuropeptide,neurotransmitter type that includes protein molecules and shorter chains of amino acids.
neutralisation,inactivation of a virus by the binding of specific antibody.
neurotransmitter,signalling chemical released by nerve terminals that bind to and activate receptors on target cells.
neutrophils,granulocytes that stain with a neutral dye and are the most numerous of the leukocytes; especially active against bacteria.
nicotinic receptor,type of acetylcholine receptor protein that is characterised by also binding to nicotine and is an ionotropic receptor.
nociceptor,receptor cell that senses pain stimuli.
node of Ranvier,"gap between two myelinated regions of an axon, allowing for strengthening of the electrical signal as it propagates down the axon."
nonspecific channel,"channel that is not specific to one ion over another, such as a nonspecific cation channel that allows any positively charged ion across the membrane."
noradrenaline,secondary catecholamine hormone secreted by the adrenal medulla in response to short-term stress.
normal range,range of values around the set point that do not cause a reaction by the control centre.
notochord,rod-like structure along dorsal side of the early embryo; largely disappears during later development but does contribute to formation of the intervertebral discs.
nuchal ligament,expanded portion of the supraspinous ligament within the posterior neck; interconnects the spinous processes of the cervical vertebrae and attaches to the base of the skull.
nucleus,cell’s central organelle; contains the cell’s DNA.
nuclear envelope,membrane that surrounds the nucleus; consisting of a double lipid-bilayer.
nuclear pore,"one of the small, protein-lined openings found scattered throughout the nuclear envelope."
nucleic acid –,biological macromolecule that carries the cell’s genetic blueprint and carries instructions for the cell’s functioning.
nucleotide –,"monomer of nucleic acids; contains a pentose sugar, one or more phosphate groups, and a nitrogenous base."
nucleolus,small region of the nucleus that functions in ribosome synthesis.
nucleosidase,brush border enzyme that digests nucleotides.
nucleosome,unit of chromatin consisting of a DNA strand wrapped around histone proteins.
nucleus cuneatus,medullary nucleus at which first-order neurons of the dorsal column system synapse specifically from the upper body and arms.
nucleus gracilis,medullary nucleus at which first-order neurons of the dorsal column system synapse specifically from the lower body and legs.
nucleus pulposus,"gel-like central region of an intervertebral disc; provides for padding, weight-bearing, and movement between adjacent vertebrae."
nutrient foramen,"small opening in the middle of the external surface of the diaphysis, through which an artery enters the bone to provide nourishment."
obstructive shock,type of shock that occurs when a significant portion of the vascular system is blocked.
obturator foramen,"large opening located in the anterior hip bone, between the pubis and ischium regions."
occipital bone,unpaired bone that forms the posterior portions of the brain case and base of the skull.
occipital condyle,"paired, oval-shaped bony knobs located on the inferior skull, to either side of the foramen magnum."
occipital lobe,region of the cerebral cortex directly beneath the occipital bone of the cranium.
occipital sinus,"enlarged vein that drains the occipital region near the falx cerebelli and flows into the left and right transverse sinuses, and also into the vertebral veins."
oculomotor nerve,"third cranial nerve; responsible for contraction of four of the extraocular muscles, the muscle in the upper eyelid, and pupillary constriction."
odourant molecules,volatile chemicals that bind to receptor proteins in olfactory neurons to stimulate the sense of smell.
oesophagus,muscular tube that runs from the pharynx to the stomach.
oesophageal artery,branch of the thoracic aorta; supplies blood to the oesophagus.
oesophageal plexus,neuronal plexus in the wall of the oesophagus that is part of the enteric nervous system.
oesophageal vein,drains the inferior portions of the oesophagus and leads to the azygos vein.
oestrogens,"class of predominantly female sex hormones important for the development and growth of the female reproductive tract, secondary sex characteristics, the female reproductive cycle, and the maintenance of pregnancy."
olecranon fossa,large depression located on the posterior side of the distal humerus; this space receives the olecranon process of the ulna when the elbow is fully extended.
olecranon process,expanded posterior and superior portions of the proximal ulna; forms the bony tip of the elbow.
olfaction,"special sense responsible for smell, which has a unique, direct connection to the cerebrum."
olfactory bulb,central target of the first cranial nerve; located on the ventral surface of the frontal lobe in the cerebrum.
olfactory epithelium,region of the nasal epithelium where olfactory neurons are located.
olfactory nerve,first cranial nerve; responsible for the sense of smell.
olfactory pit,invaginated ectodermal tissue in the anterior portion of the head region of an embryo that will form the nasal cavity.
olfactory sensory neuron,"receptor cell of the olfactory system, sensitive to the chemical stimuli of smell, the axons of which compose the first cranial nerve."
oligodendrocyte,neuroglial cell that produces myelin in the brain.
oligopotent,describes the condition of being more specialised than multipotency; the condition of being able to differentiate into one of a few possible cell types.
oliguria,below normal urine production of 400–500 mL/day.
omega fat –,type of polyunsaturated fat that the body requires; numbering the carbon omega starts from the methyl end or the end that is farthest from the carboxylic end.
oocyte,cell that results from the division of the oogonium and undergoes meiosis I at the LH surge and meiosis II at fertilisation to become a haploid ovum.
oogenesis,"process by which oogonia divide by mitosis to primary oocytes, which undergo meiosis to produce the secondary oocyte and, upon fertilisation, the ovum."
oogonia,ovarian stem cells that undergo mitosis during female foetal development to form primary oocytes.
open reduction,surgical exposure of a bone to reset a fracture.
ophthalmic artery,branch of the internal carotid artery; supplies blood to the eyes.
opposition,thumb movement that brings the tip of the thumb in contact with the tip of a finger.
opsin,protein that contains the photosensitive cofactor retinal for phototransduction.
opsonisation,enhancement of phagocytosis by the binding of antibody or antimicrobial protein.
optic canal,opening spanning between middle cranial fossa and posterior orbit.
optic chiasm,decussation point in the visual system at which medial retina fibres cross to the other side of the brain.
optic disc,spot on the retina at which RGC axons leave the eye and blood vessels of the inner retina pass.
optic nerve,second cranial nerve; responsible for visual sensation.
optic tract,name for the fibre structure containing axons from the retina posterior to the optic chiasm representing their CNS location.
orbit,bony socket that contains the eyeball and associated muscles.
oral cavity,"(also, buccal cavity) mouth."
oral vestibule,"part of the mouth bounded externally by the cheeks and lips, and internally by the gums and teeth."
organ,functionally distinct structure composed of two or more types of tissues.
organelle,any of several different types of membrane-enclosed specialised structures in the cell that perform specific functions for the cell.
organism,living being that has a cellular structure and that can independently perform all physiologic functions necessary for life.
organ of Corti,structure in the cochlea in which hair cells transduce movements from sound waves into electrochemical signals.
organogenesis,development of the rudimentary structures of all of an embryo’s organs from the germ layers.
organ system,group of organs that work together to carry out a particular function.
oropharynx,"portion of the pharynx flanked by the nasopharynx, oral cavity, and laryngopharynx that is a passageway for both air and food."
orthopaedist,doctor who specialises in diagnosing and treating musculoskeletal disorders and injuries.
orthostatic reflex,sympathetic function that maintains blood pressure when standing to offset the increased effect of gravity.
osmoreceptor,receptor cell that senses differences in the concentrations of bodily fluids on the basis of osmotic pressure.
osmosis,diffusion of water molecules down their concentration gradient across a selectively permeable membrane.
osseous tissue,"bone tissue; a hard, dense connective tissue that forms the structural elements of the skeleton."
ossicles,three small bones in the middle ear.
ossification,"(also, osteogenesis) bone formation."
ossification centre,cluster of osteoblasts found in the early stages of intramembranous ossification.
osteoblast,cell responsible for forming new bone.
osteoclast,cell responsible for resorbing bone.
osteocyte,primary cell in mature bone; responsible for maintaining the matrix.
osteogenic cell,undifferentiated cell with high mitotic activity; the only bone cells that divide; they differentiate and develop into osteoblasts.
osteoid,uncalcified bone matrix secreted by osteoblasts.
osteomalacia,"softening of bones due to a lack of mineralisation with calcium and phosphate; most often due to lack of vitamin D; in children, osteomalacia is termed rickets; not to be confused with osteoporosis."
osteon,"(also, Haversian system) basic structural unit of compact bone; made of concentric layers of calcified matrix."
osteoporosis,"disease characterised by a decrease in bone mass; occurs when the rate of bone resorption exceeds the rate of bone formation, a common occurrence as the body ages."
otolith,layer of calcium carbonate crystals located on top of the otolithic membrane.
otolithic membrane,gelatinous substance in the utricle and saccule of the inner ear that contains calcium carbonate crystals and into which the stereocilia of hair cells are embedded.
outer segment,"in the eye, the section of a photoreceptor that contains opsin molecules that transduce light stimuli."
outer synaptic layer,layer in the retina at which photoreceptors connect to bipolar cells
oval window,"membrane at the base of the cochlea where the stapes attaches, marking the beginning of the scala vestibuli."
ovarian artery,"branch of the abdominal aorta; supplies blood to the ovary, uterine (Fallopian) tube, and uterus."
ovarian cycle,approximately 28-day cycle of changes in the ovary consisting of a follicular phase and a luteal phase.
ovarian vein,drains the ovary; the right ovarian vein leads to the inferior vena cava and the left ovarian vein leads to the left renal vein.
ovaries,female gonads that produce oocytes and sex steroid hormones (notably oestrogen and progesterone).
ovulation,release of a secondary oocyte and associated granulosa cells from an ovary.
ovum,haploid female gamete resulting from completion of meiosis II at fertilisation.
oxyhaemoglobin,molecule of haemoglobin to which oxygen is bound.
oxygen debt,amount of oxygen needed to compensate for ATP produced without oxygen during muscle contraction.
oxygen– haemoglobin dissociation curve,graph that describes the relationship of partial pressure to the binding and disassociation of oxygen to and from haem.
oxytocin,"hypothalamic hormone stored in the posterior pituitary gland and important in stimulating uterine contractions in labour, milk ejection during breastfeeding, and feelings of attachment (also produced in males)."
pacemaker,cluster of specialised myocardial cells known as the SA node that initiates the sinus rhythm.
pacesetter cell,cell that triggers action potentials in smooth muscle.
Pacinian corpuscle,"(also, lamellated corpuscle) receptor in the skin that responds to vibration."
packed cell volume (PCV),"(also, haematocrit) volume percentage of erythrocytes present in a sample of centrifuged blood."
palatine bone,paired bones that form the posterior quarter of the hard palate and a small area in floor of the orbit.
palatine process,medial projection from the maxilla bone that forms the anterior three quarters of the hard palate.
palatine tonsil,one of the paired structures composed of lymphoid tissue located anterior to the uvula at the roof of isthmus of the fauces.
palatoglossal arch,muscular fold that extends from the lateral side of the soft palate to the base of the tongue.
palatopharyngeal arch,muscular fold that extends from the lateral side of the soft palate to the side of the pharynx.
palmar arches,superficial and deep arches formed from anastomoses of the radial and ulnar arteries; supply blood to the hand and digital arteries.
palmar venous arches,"drain the hand and digits, and feed into the radial and ulnar veins."
palpebral conjunctiva,membrane attached to the inner surface of the eyelids that covers the anterior surface of the cornea.
pancreas,accessory digestive organ that secretes pancreatic secretion.
pancreatic amylase,enzyme secreted by the pancreas that completes the chemical digestion of carbohydrates in the small intestine.
pancreatic islets,specialised clusters of pancreatic cells that have endocrine functions; also called islets of Langerhans.
pancreatic lipase,enzyme secreted by the pancreas that participates in lipid digestion.
pancreatic nuclease,enzyme secreted by the pancreas that participates in nucleic acid digestion.
pancreatic secretion,secretion of the pancreas containing digestive enzymes and bicarbonate.
papilla,"for gustation, a bump-like projection on the surface of the tongue that contains taste buds."
papillary layer,"superficial layer of the dermis, made of loose, areolar connective tissue."
papillary muscle,extension of the myocardium in the ventricles to which the chordae tendineae attach.
paracrine,chemical signal that elicits a response in neighbouring cells; also called paracrine factor.
paranasal sinus,"one of the cavities within the skull that is connected to the conchae that serve to warm and humidify incoming air, produce mucus, and lighten the weight of the skull; consists of frontal, maxillary, sphenoidal, and ethmoidal sinuses."
parathyroid glands,"small, round glands embedded in the posterior thyroid gland that produce parathyroid hormone (PTH)."
parathyroid hormone (PTH),peptide hormone produced and secreted by the parathyroid glands in response to low blood calcium levels.
paravertebral ganglia,autonomic ganglia superior to the sympathetic chain ganglia.
parenchyma,"functional cells of a gland or organ, in contrast with the supportive or connective tissue of a gland or organ."
parietal bone,"paired bones that form the upper, lateral sides of the skull."
parietal branches,"(also, somatic branches) group of arterial branches of the thoracic aorta; includes those that supply blood to the thoracic cavity, vertebral column, and the superior surface of the diaphragm."
parietal cell,gastric gland cell that secretes hydrochloric acid and intrinsic factor.
parietal lobe,region of the cerebral cortex directly beneath the parietal bone of the cranium.
parietal pleura,"outermost layer of the pleura that connects to the thoracic wall, mediastinum, and diaphragm."
parieto-occipital sulcus,groove in the cerebral cortex representing the border between the parietal and occipital cortices.
parotid gland,one of a pair of major salivary glands located inferior and anterior to the ears.
partial pressure,force exerted by each gas in a mixture of gases.
partial thickness burns,partial-thickness burn that injures the epidermis and a portion of the dermis.
passive immunity,transfer of immunity to a pathogen to an individual that lacks immunity to this pathogen usually by the injection of antibodies.
passive transport,form of transport across the cell membrane that does not require input of cellular energy.
patella,kneecap; the largest sesamoid bone of the body; articulates with the distal femur.
patellar ligament,ligament spanning from the patella to the anterior tibia; serves as the final attachment for the quadriceps femoris muscle.
patellar surface,"smooth groove located on the anterior side of the distal femur, between the medial and lateral condyles; site of articulation for the patella."
pattern recognition receptor (PRR),leukocyte receptor that binds to specific cell wall components of different bacterial species.
pectinate line,"horizontal line that runs like a ring, perpendicular to the inferior margins of the anal sinuses."
pectinate muscles,muscular ridges seen on the anterior surface of the right atrium.
pectineal line,narrow ridge located on the superior surface of the superior pubic ramus.
pectoral girdle,"shoulder girdle; the set of bones, consisting of the scapula and clavicle, which attaches each upper limb to the axial skeleton."
pedicels,finger-like projections of podocytes surrounding glomerular capillaries; interdigitate to form a filtration membrane.
pedicle,portion of the vertebral arch that extends from the vertebral body to the transverse process.
pelvic brim,"pelvic inlet; the dividing line between the greater and lesser pelvic regions; formed by the superior margin of the pubic symphysis, the pectineal lines of each pubis, the arcuate lines of each ilium, and the sacral promontory."
pelvic girdle,"hip girdle; consists of a single hip bone, which attaches a lower limb to the sacrum of the axial skeleton."
pelvic inlet,pelvic brim.
